label	Kindom	Abundance
BACasv583	Bac	0.01231345
BACasv584	Bac	0.034096225
BACasv585	Bac	0.025653763
BACasv586	Bac	0.02149875
BACasv587	Bac	0.05307935
BACasv588	Bac	0.013651875
BACasv589	Bac	0.009450013
BACasv590	Bac	0.033254538
BACasv591	Bac	0.016222413
BACasv592	Bac	0.0301563
BACasv593	Bac	0.023705688
BACasv594	Bac	0.043154213
BACasv595	Bac	0.080224475
BACasv596	Bac	0.006195025
BACasv597	Bac	0.012814388
BACasv598	Bac	0.016261225
BACasv599	Bac	0.016261225
BACasv600	Bac	0.024264963
BACasv601	Bac	0.016261225
BACasv602	Bac	0.021800625
BACasv603	Bac	0.043232175
BACasv604	Bac	0.01441255
BACasv605	Bac	0.03211655
BACasv607	Bac	0.012565413
BACasv610	Bac	0.002787763
BACasv613	Bac	0.020059613
BACasv614	Bac	0.092595975
BACasv615	Bac	0.013538938
BACasv616	Bac	0.061940463
BACasv617	Bac	0.029885638
BACasv618	Bac	0.039868638
BACasv619	Bac	0.03920795
BACasv620	Bac	0.012576788
BACasv622	Bac	0.005885263
BACasv623	Bac	0.015448163
BACasv624	Bac	0.041110388
BACasv625	Bac	0.029636738
BACasv626	Bac	0.033141388
BACasv627	Bac	0.031190575
BACasv628	Bac	0.019392513
BACasv629	Bac	0.013691913
BACasv630	Bac	0.015581913
BACasv631	Bac	0.025887825
BACasv632	Bac	0.018679938
BACasv637	Bac	0.023845313
BACasv638	Bac	0.02045025
BACasv639	Bac	0.040877575
BACasv640	Bac	0.023527388
BACasv641	Bac	0.032413475
BACasv642	Bac	0.020202788
BACasv643	Bac	0.017152538
BACasv644	Bac	0.01191485
BACasv645	Bac	0.005575513
BACasv646	Bac	0.005575513
BACasv647	Bac	0.005575513
BACasv648	Bac	0.021722613
BACasv651	Bac	0.0352156
BACasv652	Bac	0.015663938
BACasv653	Bac	0.010466438
BACasv654	Bac	0.0168154
BACasv655	Bac	0.03020125
BACasv656	Bac	0.011709138
BACasv657	Bac	0.016961463
BACasv658	Bac	0.012113788
BACasv659	Bac	0.023057538
BACasv660	Bac	0.031515975
BACasv661	Bac	0.019992275
BACasv662	Bac	0.013555038
BACasv663	Bac	0.0132044
BACasv664	Bac	0.00892895
BACasv665	Bac	0.005265763
BACasv666	Bac	0.013822038
BACasv667	Bac	0.025505188
BACasv668	Bac	0.021778438
BACasv671	Bac	0.015542188
BACasv672	Bac	0.011392925
BACasv673	Bac	0.0018585
BACasv674	Bac	0.009850763
BACasv675	Bac	0.016938275
BACasv676	Bac	0.018788175
BACasv677	Bac	0.007560013
BACasv679	Bac	0.036121625
BACasv680	Bac	0.018835888
BACasv681	Bac	0.015791788
BACasv682	Bac	0.011711213
BACasv683	Bac	0.004956013
BACasv684	Bac	0.032871888
BACasv685	Bac	0.028877388
BACasv690	Bac	0.002478013
BACasv691	Bac	0.0163226
BACasv692	Bac	0.021836488
BACasv693	Bac	0.018498575
BACasv694	Bac	0.026291013
BACasv695	Bac	0.025180038
BACasv696	Bac	0.007087513
BACasv697	Bac	0.007087513
BACasv698	Bac	0.007087513
BACasv699	Bac	0.032941938
BACasv700	Bac	0.0152202
BACasv701	Bac	0.017193125
BACasv702	Bac	0.010688638
BACasv703	Bac	0.013767
BACasv704	Bac	0.010688638
BACasv705	Bac	0.015940963
BACasv706	Bac	0.013548488
BACasv707	Bac	0.007878488
BACasv708	Bac	0.009929038
BACasv709	Bac	0.004646263
BACasv710	Bac	0.012195913
BACasv711	Bac	0.016350463
BACasv712	Bac	0.0018585
BACasv713	Bac	0.011454413
BACasv714	Bac	0.012771738
BACasv715	Bac	0.014544138
BACasv717	Bac	0.009976063
BACasv718	Bac	0.00735325
BACasv719	Bac	0.016609075
BACasv720	Bac	0.024663463
BACasv721	Bac	0.029591213
BACasv723	Bac	0.004336513
BACasv724	Bac	0.010088788
BACasv726	Bac	0.00154875
BACasv730	Bac	0.012256238
BACasv731	Bac	0.007989513
BACasv732	Bac	0.0061425
BACasv733	Bac	0.01326825
BACasv734	Bac	0.010395013
BACasv735	Bac	0.015482925
BACasv736	Bac	0.0061425
BACasv737	Bac	0.0061425
BACasv738	Bac	0.012299225
BACasv739	Bac	0.01346535
BACasv740	Bac	0.006828013
BACasv741	Bac	0.006828013
BACasv742	Bac	0.004026763
BACasv743	Bac	0.016352275
BACasv744	Bac	0.00936815
BACasv745	Bac	0.00936815
BACasv746	Bac	0.00936815
BACasv747	Bac	0.00936815
BACasv751	Bac	0.007388075
BACasv752	Bac	0.007388075
BACasv753	Bac	0.013058075
BACasv754	Bac	0.0126404
BACasv755	Bac	0.007388075
BACasv756	Bac	0.00567
BACasv757	Bac	0.010595375
BACasv758	Bac	0.015047225
BACasv759	Bac	0.0135969
BACasv760	Bac	0.00567
BACasv761	Bac	0.010595375
BACasv762	Bac	0.008550913
BACasv763	Bac	0.0156405
BACasv764	Bac	0.008550913
BACasv765	Bac	0.013803238
BACasv766	Bac	0.006302788
BACasv767	Bac	0.012715963
BACasv768	Bac	0.014206338
BACasv769	Bac	0.003717013
BACasv770	Bac	0.009396863
BACasv771	Bac	0.013822038
BACasv772	Bac	0.009756738
BACasv775	Bac	0.006413175
BACasv777	Bac	0.0100799
BACasv778	Bac	0.019509863
BACasv779	Bac	0.013752325
BACasv780	Bac	0.015465638
BACasv781	Bac	0.0051975
BACasv782	Bac	0.009507213
BACasv783	Bac	0.0051975
BACasv784	Bac	0.010122875
BACasv785	Bac	0.0051975
BACasv786	Bac	0.007838325
BACasv787	Bac	0.00577755
BACasv788	Bac	0.003407263
BACasv789	Bac	0.003407263
BACasv790	Bac	0.008943675
BACasv791	Bac	0.008943675
BACasv792	Bac	0.01971685
BACasv793	Bac	0.002168263
BACasv796	Bac	0.002787763
BACasv798	Bac	0.006156725
BACasv799	Bac	0.009464225
BACasv800	Bac	0.006156725
BACasv801	Bac	0.006156725
BACasv802	Bac	0.006156725
BACasv803	Bac	0.023742413
BACasv804	Bac	0.006156725
BACasv805	Bac	0.043791563
BACasv806	Bac	0.004725
BACasv807	Bac	0.017531425
BACasv808	Bac	0.004725
BACasv809	Bac	0.014481738
BACasv810	Bac	0.004725
BACasv811	Bac	0.01026605
BACasv812	Bac	0.011138175
BACasv813	Bac	0.004725
BACasv814	Bac	0.004725
BACasv815	Bac	0.004725
BACasv816	Bac	0.004725
BACasv817	Bac	0.00712575
BACasv818	Bac	0.005252325
BACasv819	Bac	0.005252325
BACasv820	Bac	0.005252325
BACasv821	Bac	0.010952925
BACasv822	Bac	0.005252325
BACasv823	Bac	0.025074663
BACasv824	Bac	0.003097513
BACasv825	Bac	0.015448163
BACasv826	Bac	0.008130613
BACasv827	Bac	0.008130613
BACasv828	Bac	0.008130613
BACasv829	Bac	0.007206275
BACasv833	Bac	0.00427545
BACasv836	Bac	0.00554105
BACasv837	Bac	0.00554105
BACasv838	Bac	0.00695855
BACasv839	Bac	0.008692438
BACasv840	Bac	0.008619413
BACasv841	Bac	0.00979355
BACasv842	Bac	0.00554105
BACasv843	Bac	0.00554105
BACasv844	Bac	0.00554105
