label	Kindom	Abundance
FUNasv233	Fun	0.0817595
FUNasv235	Fun	0.0211904
FUNasv236	Fun	0.0007625
FUNasv237	Fun	0.0046632
FUNasv238	Fun	0.004049675
FUNasv239	Fun	0.013039075
FUNasv240	Fun	0.00062375
FUNasv241	Fun	0.004773063
FUNasv243	Fun	0.0109426
FUNasv244	Fun	0.049711563
FUNasv245	Fun	0.002260288
FUNasv246	Fun	0.00041875
FUNasv248	Fun	0.0016226
FUNasv249	Fun	0.014220213
FUNasv250	Fun	0.00299625
FUNasv251	Fun	0.020119638
FUNasv252	Fun	0.016499313
FUNasv254	Fun	0.034618913
FUNasv255	Fun	0.0094346
FUNasv256	Fun	0.008543025
FUNasv257	Fun	0.032061463
FUNasv258	Fun	0.005484788
FUNasv259	Fun	0.018125575
FUNasv260	Fun	0.000755
FUNasv263	Fun	0.027157163
FUNasv265	Fun	0.00074875
FUNasv268	Fun	0.012787625
FUNasv269	Fun	0.0153188
FUNasv270	Fun	0.015789613
FUNasv271	Fun	0.0010675
FUNasv272	Fun	0.037726713
FUNasv276	Fun	0.015122575
FUNasv277	Fun	0.032694213
FUNasv278	Fun	0.005047538
FUNasv279	Fun	0.0022356
FUNasv281	Fun	0.00049875
FUNasv282	Fun	0.022912875
FUNasv283	Fun	0.020362013
FUNasv286	Fun	0.024280938
FUNasv287	Fun	0.002939725
FUNasv288	Fun	0.0132973
FUNasv289	Fun	0.0094325
FUNasv290	Fun	0.00199705
FUNasv291	Fun	0.016963688
FUNasv295	Fun	0.0127959
FUNasv296	Fun	0.00562135
FUNasv298	Fun	0.01110595
FUNasv299	Fun	0.018630025
FUNasv300	Fun	0.00342625
FUNasv301	Fun	0.028004313
FUNasv304	Fun	0.006562525
FUNasv307	Fun	0.00112375
FUNasv308	Fun	0.014587413
FUNasv309	Fun	0.01326805
FUNasv310	Fun	0.008233175
FUNasv312	Fun	0.00062375
FUNasv313	Fun	0.0101554
FUNasv314	Fun	0.0010625
FUNasv316	Fun	0.007231725
FUNasv317	Fun	0.01010815
FUNasv319	Fun	0.006745888
FUNasv321	Fun	0.0041189
FUNasv322	Fun	0.002439288
FUNasv325	Fun	0.014438238
FUNasv328	Fun	0.005703875
FUNasv329	Fun	0.011572438
FUNasv330	Fun	0.020931175
FUNasv332	Fun	0.001380775
FUNasv334	Fun	0.019442963
FUNasv335	Fun	0.001359875
FUNasv336	Fun	0.004210938
FUNasv338	Fun	0.002134375
FUNasv339	Fun	0.00330335
FUNasv340	Fun	0.0127883
FUNasv345	Fun	0.00194125
FUNasv346	Fun	0.0073874
FUNasv347	Fun	0.013119938
FUNasv348	Fun	0.003942075
FUNasv349	Fun	0.004225688
FUNasv350	Fun	0.00045375
FUNasv353	Fun	0.008507738
FUNasv354	Fun	0.00124875
FUNasv355	Fun	0.0133118
FUNasv357	Fun	0.00143875
FUNasv359	Fun	0.006949913
FUNasv360	Fun	0.002726763
FUNasv361	Fun	0.0099485
FUNasv363	Fun	0.001981925
FUNasv364	Fun	0.006835813
FUNasv365	Fun	0.009629275
FUNasv366	Fun	0.01058185
FUNasv367	Fun	0.00087375
FUNasv369	Fun	0.00122
FUNasv370	Fun	0.006011525
FUNasv371	Fun	0.009253663
FUNasv372	Fun	0.00199875
FUNasv375	Fun	0.00302235
FUNasv378	Fun	0.0115866
FUNasv379	Fun	0.00161645
FUNasv381	Fun	0.0032058
FUNasv382	Fun	0.00194125
FUNasv388	Fun	0.001747413
FUNasv389	Fun	0.00025
FUNasv392	Fun	0.001372963
FUNasv393	Fun	0.00074875
FUNasv394	Fun	0.0067309
FUNasv396	Fun	0.000915
FUNasv399	Fun	0.00062375
FUNasv400	Fun	0.001677013
FUNasv403	Fun	0.003070238
FUNasv406	Fun	0.006879538
FUNasv409	Fun	0.0009525
FUNasv413	Fun	0.006690588
FUNasv417	Fun	0.00087375
FUNasv418	Fun	0.0060625
FUNasv419	Fun	0.0054084
FUNasv421	Fun	0.004599
FUNasv422	Fun	0.00148625
FUNasv424	Fun	0.001905
FUNasv425	Fun	0.00062375
FUNasv426	Fun	0.00110375
FUNasv427	Fun	0.006858175
FUNasv431	Fun	0.004992613
FUNasv432	Fun	0.0036405
FUNasv434	Fun	0.00193875
FUNasv436	Fun	0.002286838
FUNasv438	Fun	0.005663525
FUNasv443	Fun	0.0009775
FUNasv445	Fun	0.0047935
FUNasv446	Fun	0.000755
FUNasv451	Fun	0.001747413
FUNasv452	Fun	0.00074875
FUNasv459	Fun	0.002052413
FUNasv460	Fun	0.00049875
FUNasv461	Fun	0.002783475
FUNasv463	Fun	0.004876913
FUNasv467	Fun	0.003627413
FUNasv468	Fun	0.002728175
