ASVID	Arable6_1	Arable6_2	Arable6_3	Arable6_4	Arable9_1	Arable9_2	Arable9_3	Arable9_4	Class	Abundance
FUNasv418	0	0	0	0	0.00015115	0	0	0.00033385	Eurotiomycetes	6.06E-05
FUNasv419	0	0	0	0	0.00012281	5.59E-05	0.000253962	0	Sordariomycetes	5.41E-05
FUNasv421	8.99E-05	0	0	0.00027802	0	0	0	0	Leotiomycetes	4.60E-05
FUNasv422	4.99E-05	0	6.90E-05	0	0	0	0	0	Dothideomycetes	1.49E-05
FUNasv424	7.99E-05	0	0	7.25E-05	0	0	0	0	Sordariomycetes	1.91E-05
FUNasv427	3.99E-05	0	0.000138078	0	0.000160597	6.70E-05	0	0.000143079	Eurotiomycetes	6.86E-05
FUNasv431	0.000399409	0	0	0	0	0	0	0	Sordariomycetes	4.99E-05
FUNasv432	5.99E-05	0	0.000110462	0.000120878	0	0	0	0	Eurotiomycetes	3.64E-05
FUNasv434	9.99E-05	0	5.52E-05	0	0	0	0	0	Leotiomycetes	1.94E-05
FUNasv436	0	0.000182947	0	0	0	0	0	0	Agaricomycetes	2.29E-05
FUNasv438	0	0	0	0	0	0	0	0.000453082	Agaricomycetes	5.66E-05
FUNasv451	0.000139793	0	0	0	0	0	0	0	Sordariomycetes	1.75E-05
FUNasv459	0.000139793	2.44E-05	0	0	0	0	0	0	Agaricomycetes	2.05E-05
